text,label_id,category
PCR,6,kesehatan
Tisu,3,belanja
Rese Dokter,6,kesehatan
cabut gigi,6,kesehatan
TTEOKBOKKI,0,makanan
Angkot,2,transportasi
Netflix,4,tagihan
Spotify,4,tagihan
Isi Pulsa,4,tagihan
gulai,0,makanan
FOLDER,3,belanja
2xDetergen,3,belanja
FLASHDISK,3,belanja
Tokopedia,3,belanja
PRINT,7,lain_lain
Stabilo,3,belanja
Crostini,0,makanan
Power Bank,3,belanja
Puskesmas,6,kesehatan
Metromini,2,transportasi
ChocolateCake,0,makanan
1 Komik,5,hiburan
1xIkan Bakar,0,makanan
Kuota Internet,4,tagihan
RED VELVET,0,makanan
Lensa Kontak,6,kesehatan
Biaya Kos,4,tagihan
HAZELNUT LATTE,1,minuman
Nasi Liwet,0,makanan
rumah sakit,6,kesehatan
tokopedia,3,belanja
Data Internet,4,tagihan
Scan,7,lain_lain
Transjakarta,2,transportasi
lab kesehatan,6,kesehatan
@ Softlens,6,kesehatan
Takoyaki,0,makanan
karaoke,5,hiburan
MIKROLET,2,transportasi
Topi,3,belanja
_Mie Ayam.,0,makanan
Americano,1,minuman
Obat Flu,6,kesehatan
Billiard,5,hiburan
SHOPEE,3,belanja
3xBiaya Transfer,7,lain_lain
Waffle,0,makanan
Vanilla Latt,1,minuman
Taksi Online,2,transportasi
Potong Rambut,7,lain_lain
*First Media_,4,tagihan
Rumah Sakit,6,kesehatan
Flashdisk,3,belanja
Es Kelapa Muda,1,minuman
gulai,0,makanan
Calpico,1,minuman
Karaoke,5,hiburan
Asuransi,4,tagihan
KLINIK,6,kesehatan
JNE,7,lain_lain
Biaya Periksa,6,kesehatan
Matcha Latte,1,minuman
-OjekOnline_,2,transportasi
Kacamata,6,kesehatan
dimsum,0,makanan
.Es Kopi Susu-,1,minuman
#PLN*,4,tagihan
Ramune,1,minuman
Aqua,1,minuman
Brownie,0,makanan
UC PUBG,5,hiburan
#Infaq-,7,lain_lain
Kacamata,6,kesehatan
Top Up PUBG,5,hiburan
Komik,5,hiburan
Pulsa,4,tagihan
Steam,5,hiburan
POTONG RAMBUT,7,lain_lain
Tisu,3,belanja
Damri,2,transportasi
Adobe,4,tagihan
BPJS Kesehatan,4,tagihan
@ Cat Akrilik,5,hiburan
.Mouse-,3,belanja
Cuci Baju,7,lain_lain
paracetamol,6,kesehatan
MaximCar,2,transportasi
MRT,2,transportasi
Metromini,2,transportasi
*Power Bank*,3,belanja
Print,7,lain_lain
Cuci Baju,7,lain_lain
ojek,2,transportasi
Lcyehe Drink,1,minuman
3xPretzel,0,makanan
Suplemen,6,kesehatan
mrt,2,transportasi
Futsal,5,hiburan
Es Buah,1,minuman
Kabel Data,3,belanja
-Top Up Mobile Legends-,5,hiburan
Pensil,3,belanja
CANVA PRO,4,tagihan
Netflix,4,tagihan
Softlens,6,kesehatan
.BPJS Kesehatan.,4,tagihan
1xTambal Gigi,6,kesehatan
Jus Mangga,1,minuman
Jus Jeruk,1,minuman
JNE,7,lain_lain
brown sugar latte,1,minuman
KAOS,3,belanja
@ Iced Latte,1,minuman
.Gnocchi-,0,makanan
Garlic Bread,0,makanan
@ Shopee,3,belanja
BAYAR LISTRIK,4,tagihan
pulsa,4,tagihan
Bayar Listrik,4,tagihan
Dotke rGimi,6,kesehatan
1xTisu,3,belanja
KRL,2,transportasi
XXI,5,hiburan
Billiard,5,hiburan
_Bayar Kos.,4,tagihan
Top Up Genshin,5,hiburan
Kemeja,3,belanja
Vitamin D,6,kesehatan
Wahana,5,hiburan
Busway,2,transportasi
Ibuprofen,6,kesehatan
Pulsa,4,tagihan
7dobe,4,tagihan
Taman Bermain,5,hiburan
TEH HIJAU,1,minuman
Transjakarta,2,transportasi
Canva Pro,4,tagihan
Lab Kesehatan,6,kesehatan
Bioskop,5,hiburan
Cek Darah,6,kesehatan
PLN,4,tagihan
Belanja Online,3,belanja
Es Cendol,1,minuman
Roti Bakar,0,makanan
Multivitamin,6,kesehatan
Ikan Bakar,0,makanan
Bayar Kos,4,tagihan
2xToken Listrik,4,tagihan
matcha latte,1,minuman
Mouse,3,belanja
Mango Drink,1,minuman
JNE,7,lain_lain
NUGGET,0,makanan
Buku Kuliah,3,belanja
Suplemen,6,kesehatan
Dokter Gigi,6,kesehatan
setrika,7,lain_lain
TIKET BUS,2,transportasi
Hoodie,3,belanja
#Es Matcha*,1,minuman
Suplemen,6,kesehatan
Kopi Tubru,1,minuman
Bioskop,5,hiburan
Rawon,0,makanan
Pasta,0,makanan
Jus Alpukat,1,minuman
Japchae,0,makanan
Anteraja,7,lain_lain
Tomato Soup,0,makanan
Tike Wisata,5,hiburan
Ikat Pinggang,3,belanja
Fries,0,makanan
Modul,3,belanja
Bakso,0,makanan
Lavender Latte,1,minuman
#BLT.,0,makanan
Hojicha,1,minuman
Nas Goreng Kampung,0,makanan
OjekOnline,2,transportasi
Ayam Kreme,0,makanan
Dokter,6,kesehatan
Nas iPadadg,0,makanan
@ Gelang,3,belanja
kuota internet,4,tagihan
Vanilla Latte,1,minuman
Metromini,2,transportasi
Bowling,5,hiburan
Mikrolet,2,transportasi
Sepytu,3,belanja
Boba,1,minuman
@ Nachos,0,makanan
Ongkos Kirim,7,lain_lain
Guardian,6,kesehatan
YOUTUBE PREMIUM,4,tagihan
Paket Nasi Ayam,0,makanan
Jilid,7,lain_lain
Taro Latte,1,minuman
Gnocchi,0,makanan
Cardigna,3,belanja
YouTube Premium,4,tagihan
-Parkir Motor_,2,transportasi
Wahana,5,hiburan
Cek Darah,6,kesehatan
Sampo,3,belanja
CGV,5,hiburan
@ngks&iKri,7,lain_lain
Macchiato,1,minuman
1 Tenis,5,hiburan
Kopi Cappuccino,1,minuman
_Charger*,3,belanja
Sweater,3,belanja
ikat pinggang,3,belanja
Bowling,5,hiburan
Flashdisk,3,belanja
voucher game,5,hiburan
Adobe,4,tagihan
Earphone,3,belanja
Internet Bulanan,4,tagihan
Vitamin D,6,kesehatan
Obat Sakit Kepal,6,kesehatan
Buku Novel,5,hiburan
1 Shopee,3,belanja
Tenis,5,hiburan
Materai,7,lain_lain
Gojek,2,transportasi
1 Billiard,5,hiburan
Kolam !eanng,5,hiburan
sandwich,0,makanan
Obat Batfk,6,kesehatan
*Hansaplast#,6,kesehatan
.Air PAM-,4,tagihan
Cabut Gigi,6,kesehatan
MximBiw,2,transportasi
Resep Dokter,6,kesehatan
Ramyeon,0,makanan
Microsoft 365,4,tagihan
Dokter Gigi,6,kesehatan
Internet Bulanan,4,tagihan
Jajan,7,lain_lain
_Hazelnut Latte-,1,minuman
pameran,5,hiburan
Pensil,3,belanja
Gelato,0,makanan
*Taman Bermain-,5,hiburan
OjekOnline,2,transportasi
Sikat Gigi,3,belanja
Obat Flu,6,kesehatan
Cek Darah,6,kesehatan
Obat Sakit Kepala,6,kesehatan
#Topi_,3,belanja
-Smoothie.,1,minuman
Kopi Espresso,1,minuman
Jilid,7,lain_lain
_Transjakarta_,2,transportasi
Tokopedia,3,belanja
Ongkos Kirim,7,lain_lain
FRAPPE,1,minuman
Maker,6,kesehatan
Tagihan HP,4,tagihan
Nasi Goreng Spesial,0,makanan
Shopee,3,belanja
canva pro,4,tagihan
AIR MINERAL,1,minuman
Komik,5,hiburan
Mikrolet,2,transportasi
MRT,2,transportasi
Grab,2,transportasi
Steam,5,hiburan
Kopi Americano,1,minuman
1 BBM,2,transportasi
1xGym,5,hiburan
Patungan,7,lain_lain
Suplemen,6,kesehatan
apotek,6,kesehatan
Blazer,3,belanja
.Angkot.,2,transportasi
Sandal,3,belanja
PLN,4,tagihan
ISI PULSA,4,tagihan
Sate Kambing,0,makanan
GoCar,2,transportasi
Doktpr,6,kesehatan
Legalisir,7,lain_lain
LRT,2,transportasi
MaximBiek,2,transportasi
Dokter Gigi,6,kesehatan
Tagihan Telepon,4,tagihan
scan,7,lain_lain
Bruschetta,0,makanan
Nugget,0,makanan
Festival,5,hiburan
Iced Latte,1,minuman
Iura Kelas,7,lain_lain
#Hansaplast-,6,kesehatan
Tiket Kereta,2,transportasi
Hoodie,3,belanja
Profiterole,0,makanan
Jajan,7,lain_lain
Dokter,6,kesehatan
@ Matcha,1,minuman
Hojiha,1,minuman
UC PUBG,5,hiburan
1 Parkir Motor,2,transportasi
xxi,5,hiburan
Es Kelapa Muda,1,minuman
Iuran eKas,7,lain_lain
MOUSE,3,belanja
Taman Bermain,5,hiburan
jilid,7,lain_lain
MAP PLASTIK,3,belanja
Ice Cream,0,makanan
Retribusi Parkir,2,transportasi
2 Paracetamol,6,kesehatan
NASI BAKAR,0,makanan
Spotify,4,tagihan
Betadine,6,kesehatan
Sandal,3,belanja
.Donasi#,7,lain_lain
SOFTENER,3,belanja
ATM,7,lain_lain
IKAT PINGGANG,3,belanja
